Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
HYUNDAI,I20,"1.4L,4-CYLINDER,INLINE-4(I4)","1,396 cc",99.0,180.0,10.5 sec,15400.0,Petrol/Hybrid,5.0,250.0
HYUNDAI,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)","1,999 cc",147.0,200.0,9.5 sec,18400.0,Petrol/Hybrid,5.0,250.0
MAHINDRA,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",155.0,180.0,10.5 sec,18400.0,Diesel,7.0,400.0
MAHINDRA,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",140.0,160.0,11.2 sec,16400.0,Diesel,7.0,280.0
MAHINDRA,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)","1,997 cc",150.0,180.0,10.5 sec,20400.0,Petrol/Diesel,4.0,320.0
MARUTI SUZUKI,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83.0,160.0,12.2 sec,10400.0,Petrol,5.0,113.0
MARUTI SUZUKI,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83.0,160.0,12.2 sec,11400.0,Petrol/Diesel,5.0,113.0
MARUTI SUZUKI,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)","1,462 cc",103.0,180.0,11.5 sec,14400.0,Petrol,5.0,200.0
TOYOTA,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM","1,998 cc",220.0,180.0,6.7 sec,31100.0,Plug-in Hybrid,5.0,220.0
TOYOTA,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",300.0,230.0,5. 0 sec,36995.0,Petrol,5.0,370.0
TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL","3,346 cc",305.0,210.0,6.8 sec,58500.0,Petrol/Diesel,7.0,650.0
TOYOTA,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO","3,445 cc",437.0,180.0,6.2 sec,56000.0,Hybrid,5.0,750.0
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,INLINE-4","1,987 cc",169.0,190.0,8.2 sec,25390.0,Petrol,5.0,250.0
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24 kwh,152.0,180.0,9.0 sec,49500.0,Hydrogen,5.0,335.0
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",224.0,170.0,10.0 sec,50000.0,Petrol/Diesel,5.0,500.0
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6","HYBRID(2,494 cc),V6(3,456 cc)",296.0,180.0,8.5 sec,60000.0,Petrol,7.0,400.0
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",204.0,175.0,10.5 sec,55000.0,Diesel/Petrol,7.0,500.0
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,"1,987 cc",184.0,165.0,9.5 sec,40000.0,Hybrid,7.0,250.0
TOYOTA,COASTER,"4.0L,DIESEL","4,009 cc",134.0,120.0,,70000.0,Diesel,20.0,500.0
TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID","1,490 cc",114.0,170.0,11 sec,25000.0,Petrol,5.0,130.0
TOYOTA,AYGO X,"1.0L,INLINE-3",998 cc,71.0,160.0,14.8 sec,18000.0,Petrol,4.0,93.0
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL","2,755 cc",204.0,175.0,10.0 sec,50000.0,Diesel,5.0,500.0
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75 KWH,136.0,130.0,13.5 sec,55000.0,Electric,7.0,280.0
TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID","3,456 cc",406.0,200.0,6.0 sec,170000.0,Petrol,5.0,500.0
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID","1,798 cc",134.0,180.0,10.0 sec,24000.0,Hybrid,5.0,300.0
TOYOTA,BZ3,ELECTRIC MOTOR,65 KWH,241.0,160.0,7.5 sec,35000.0,Electric,5.0,340.0
TOYOTA,GR YARIS,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",268.0,230.0,5.5 sec,45000.0,Petrol,4.0,390.0
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600 cc",253.0,180.0,9.3 sec,50000.0,Petrol/Hybrid,7.0,420.0
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6 KWH,225.0,185.0,7.4 sec,41000.0,Electric,5.0,350.0
HYUNDAI,Santa Cruz,2.5L Turbocharged Inline-4,"2,500 cc",281.0,215.0,6.5 sec,40799.0,Petrol,5.0,400.0
HYUNDAI,Kona,1.6L PETROL ,"1,591 cc",147.0,185.0,10. 5 sec,20500.0,Petrol/EV,5.0,400.0
HYUNDAI,Elantra,2.0L Inline-4,"2,000 cc",147.0,210.0,8.3 sec,19950.0,Petrol/Hybrid,5.0,250.0
Nissan,Urvan,2.5L Turbo Diese,,305.00583090379007,140.0,14.0 sec,28000.0,Diesel,15.0,356.0
HYUNDAI,IONIQ 6,Electric Motor,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),320.0,185.0,5.2 sec,41450.0,Electric,5.0,350.0
HYUNDAI,Tucson,2.5L Inline-4,"2,500 cc",187.0,180.0,6.1 sec,30500.0,Petrol/Hybrid,5.0,400.0
HYUNDAI,Palisade,3.8L V6,"3,800 cc",291.0,240.0,6.3 sec,52000.0,Petrol,7.0,355.0
HYUNDAI,Sonata,2.5L Inline-4,"2,500 cc",191.0,240.0,8 sec,25000.0,Petrol/Hybrid,5.0,250.0
HYUNDAI,Accent,1.6L Inline-4,"1,600 cc",120.0,180.0,9.8 sec,15000.0,Petrol,5.0,151.0
HYUNDAI,Venue,1.6L Inline-4,"1,600 cc",121.0,180.0,9.5 sec,18000.0,Petrol,5.0,240.0
HYUNDAI,KONA Electric,Electric Motor,39.2 kwh,200.0,200.0,6.1 sec,40000.0,Electric,5.0,395.0
HYUNDAI,Veloster,2.0L Inline-4,"2,000 cc",275.0,220.0,6 sec,25000.0,Petrol,4.0,264.0
HYUNDAI,NEXO,Electric Motor,1.56 kwh,161.0,180.0,7.8 sec,38000.0,Hydrogen,5.0,400.0
HYUNDAI,Ioniq,1.6L Inline-4,"1,600 cc",139.0,160.0,8.5 sec,18000.0,Hybrid/Electric,5.0,295.0
HYUNDAI,Genesis,3.8L V6,"3,800 cc",291.0,240.0,6.3 sec,52000.0,Petrol,5.0,400.0
HYUNDAI,Azera,3.3L V6,"3,300 cc",278.0,240.0,6.5 sec,55000.0,Petrol,5.0,250.0
HYUNDAI,Equus,3.3L V6,"3,300 cc",278.0,240.0,6.5 sec,55000.0,Petrol,5.0,400.0
HYUNDAI,Tiburon,2.0L Inline-4,"2,000 cc",160.0,200.0,8.2 sec,19000.0,Petrol,4.0,320.0
HYUNDAI,Elantra GT,1.6L Turbo GDI 4-cylinder,"2,000 cc",160.0,200.0,8.3 sec,22000.0,Petrol,5.0,320.0
Volkswagen,Golf,1.5L Turbo I4 / Electric,1498 cc / 40 - 58 kWh,110.0,210.0,8.5 sec,23000.0,Petrol,5.0,250.0
Volkswagen,Passat,2.0L Turbo I4,1984 cc,150.0,210.0,7.8 sec,25000.0,Petrol,5.0,250.0
Volkswagen,Tiguan,2.0L Turbo I4,1984 cc,150.0,209.0,8.5 sec,28505.0,"Petrol, Hybrid",7.0,300.0
Volkswagen,Jetta,1.5L Turbo I4,1498 cc,150.0,210.0,7.7 sec,21995.0,Petrol,5.0,250.0
Volkswagen,Polo,1.0L Turbo I3 / 1.6L Diesel,999 cc / 1598 cc,80.0,190.0,9.5 sec,18000.0,Petrol,5.0,175.0
Volkswagen,Arteon,2.0L Turbo I4,1984 cc,150.0,250.0,5.6 sec,46000.0,Petrol,5.0,350.0
Volkswagen,ID.4,Electric,77 kWh,201.0,160.0,7.8 sec,39735.0,Electric,5.0,310.0
Volkswagen,Up!,Electric,32.3 kWh,82.0,160.0,13.0 sec,15000.0,Petrol,4.0,95.0
Volkswagen,Touareg,3.0L V6 Turbo Diesel / 4.0L V8,2967 cc / 3956 cc,231.0,235.0,5.9 sec,55000.0,"Petrol, Diesel",5.0,600.0
Volkswagen,Scirocco,2.0L Turbo I4,1984 cc,125.0,233.0,6.0 sec,35000.0,Petrol,4.0,350.0
Volkswagen,Beetle,2.0L Turbo I4,1984 cc,105.0,205.0,7.0 sec,20000.0,Petrol,4.0,240.0
Volkswagen,Amarok,3.0L V6 Turbo Diesel,2967 cc,163.0,180.0,7.9 sec,40000.0,Diesel,5.0,550.0
Volkswagen,T-Roc,2.0L Turbo I4,1984 cc,115.0,205.0,7.2 sec,30000.0,Petrol,5.0,320.0
Volkswagen,Sharan,2.0L Turbo I4,1984 cc,150.0,200.0,9.3 sec,33000.0,"Petrol, Diesel",7.0,280.0
Volkswagen,Caddy,1.5L Turbo I4,1498 cc,102.0,185.0,10.5 sec,28000.0,"Petrol, Diesel",7.0,250.0
Nissan,NV1500,4.0L V6,3954 cc,261.0,160.0,9.5 sec,33000.0,Petrol,12.0,385.0
Volkswagen,Taigo,1.5L Turbo I4,1498 cc,95.0,183.0,10.0 sec,24000.0,Petrol,5.0,200.0
Volkswagen,California,2.0L Turbo I4,1984 cc,150.0,180.0,13.0 sec,70000.0,Diesel,7.0,340.0
Volkswagen,ID.3,Electric,58 - 77 kWh,204.0,160.0,7.3 sec,35000.0,Electric,5.0,310.0
Volkswagen,ID. Buzz,Electric,77 kWh,204.0,145.0,10.2 sec,59995.0,Electric,7.0,310.0
Volkswagen,Golf GTI,2.0L Turbo I4,1984 cc,245.0,250.0,5.9 sec,31965.0,Petrol,5.0,350.0
Volkswagen,Golf R,2.0L Turbo I4,1984 cc,315.0,250.0,4.6 sec,44640.0,Petrol,5.0,420.0
Volkswagen,Passat Alltrack,2.0L Turbo Diesel I4,1968 cc,190.0,220.0,7.8 sec,36000.0,Diesel,5.0,400.0
Volkswagen,Polo GTI,2.0L Turbo I4,1984 cc,204.0,238.0,6.7 sec,28000.0,Petrol,5.0,320.0
Volkswagen,Up! GTI,1.0L Turbo I3,999 cc,115.0,196.0,8.8 sec,20000.0,Petrol,4.0,200.0
Volkswagen,T-Cross,1.0L Turbo I3 / 1.5L Turbo I4,999 cc / 1498 cc,95.0,200.0,10.2 sec,25000.0,Petrol,5.0,250.0
Volkswagen,ID.5,Electric,77 kWh,174.0,180.0,8.4 sec,45000.0,Electric,5.0,310.0
Volkswagen,ID. Buzz Cargo,Electric,77 kWh,204.0,145.0,10.2 sec,55000.0,Electric,3.0,310.0
Volkswagen,Touareg R,Plug-in Hybrid V6,2995 cc,462.0,250.0,5.1 sec,70000.0,Hybrid,5.0,700.0
Volkswagen,Multivan,Plug-in Hybrid / Diesel I4,1395 cc / 1968 cc,150.0,190.0,9.4 sec,50000.0,"Petrol, Hybrid",7.0,350.0
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75.0,190.0,10.5 sec,22000.0,Diesel,5.0,250.0
Volkswagen,Golf Sportsvan,1.5L Turbo I4,1498 cc,130.0,210.0,8.9 sec,30000.0,Petrol,5.0,250.0
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968 cc,147.0,210.0,7.1 sec,35000.0,Petrol,5.0,350.0
Volkswagen,Scirocco R,2.0L Turbo I4,1984 cc,280.0,250.0,5.5 sec,40000.0,Petrol,4.0,350.0
Volkswagen,Tiguan Allspace,2.0L Turbo I4,1984 cc,184.0,215.0,7.6 sec,35000.0,Petrol,7.0,320.0
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984 cc,190.0,250.0,5.6 sec,48000.0,Petrol,5.0,350.0
Volkswagen,ID.4 GTX,Electric AWD,77 kWh,299.0,180.0,6.2 sec,50000.0,Electric,5.0,460.0
Volkswagen,ID.3 Pro,Electric,58 kWh,204.0,160.0,7.3 sec,35000.0,Electric,5.0,310.0
Volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,1498 cc / 1968 cc,130.0,220.0,7.5 sec,32000.0,Petrol,5.0,320.0
Volkswagen,Crafter,2.0L Turbo Diesel I4,1968 cc,102.0,160.0,13.0 sec,40000.0,Diesel,3.0,410.0
Volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,1390 cc / 1199 cc,60.0,170.0,14.3 sec,15000.0,Petrol,4.0,120.0
Volkswagen,Corrado,2.9L VR6,2861 cc,190.0,235.0,6.4 sec,25000.0,Petrol,4.0,245.0
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,2967 cc / 5998 cc,240.0,250.0,6.1 sec,85000.0,Petrol,5.0,560.0
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105.0,217.0,8.4 sec,30000.0,Petrol,4.0,200.0
Volkswagen,Santana,1.5L I4 Gas,1498 cc,110.0,190.0,12.9 sec,15000.0,Petrol,5.0,145.0
Volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,1390 cc / 1598 cc,85.0,170.0,10.8 sec,14000.0,Petrol,5.0,132.0
Volkswagen,Karmann Ghia,1.2L I4 Gas,1192 cc,34.0,138.0,23.0 sec,25000.0,Petrol,2.0,106.0
Volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,1198 cc / 1390 cc,55.0,148.0,17.5 sec,12000.0,Petrol,5.0,93.0
Volkswagen,Vento,1.6L I4 Gas / Diesel,1598 cc,105.0,186.0,11.7 sec,18000.0,Petrol,5.0,153.0
Volkswagen,Golf Electric,Electric,35.8 kWh,136.0,140.0,10.4 sec,33000.0,Electric,5.0,290.0
Volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,1598 cc / 1896 cc,100.0,200.0,9.4 sec,20000.0,Petrol,5.0,220.0
Volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,1984 cc / 3597 cc,235.0,190.0,8.6 sec,32000.0,Petrol,7.0,350.0
Volkswagen,Taos,1.5L I4 Turbo,1498 cc,158.0,193.0,8.4 sec,24000.0,Petrol,5.0,250.0
Volkswagen,Up! Cabriolet,1.0L I3 Turbo,999 cc,82.0,160.0,12.4 sec,18000.0,Petrol,4.0,95.0
Volkswagen,T-Roc Cabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115.0,205.0,9.6 sec,35000.0,Petrol,4.0,250.0
Volkswagen,Passat CC,2.0L I4 Turbo,1984 cc,200.0,240.0,7.3 sec,40000.0,Petrol,5.0,280.0
Volkswagen,Transporter,2.0L I4 Turbo Diesel,1968 cc,102.0,180.0,12.2 sec,35000.0,Diesel,9.0,340.0
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967 cc,204.0,191.0,7.9 sec,45000.0,Diesel,5.0,580.0
Volkswagen,ID.2,Electric,~50 kWh (Estimate),305.00583090379007,160.0,8.0 sec,25000.0,Electric,5.0,220.0
Volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,1390 cc / 1598 cc,75.0,190.0,9.9 sec,20000.0,Diesel,5.0,250.0
Volkswagen,Golf GTE,Plug-in Hybrid (1.4L I4 Turbo),1395 cc + Electric Motor,204.0,222.0,7.6 sec,40000.0,Hybrid,5.0,350.0
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956 cc,421.0,250.0,4.9 sec,70000.0,Petrol,5.0,770.0
Volkswagen,Beetle Dune,1.4L I4 Turbo,1395 cc,150.0,200.0,7.5 sec,30000.0,Petrol,4.0,250.0
Volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,1498 cc / 1968 cc,150.0,210.0,8.7 sec,28000.0,Petrol,5.0,250.0
Volkswagen,ID.4 Pro S,Electric,77 kWh,201.0,180.0,7.8 sec,45000.0,Electric,5.0,310.0
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105.0,217.0,8.4 sec,30000.0,Petrol,4.0,200.0
Volkswagen,Golf Country,1.8L I4 Gas,1781 cc,98.0,165.0,12.0 sec,25000.0,Petrol,5.0,170.0
Volkswagen,Jetta GLI,2.0L I4 Turbo,1984 cc,228.0,250.0,6.5 sec,31000.0,Petrol,5.0,350.0
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984 cc,150.0,250.0,5.6 sec,50000.0,Petrol,5.0,420.0
Volkswagen,T-Cross R-Line,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115.0,200.0,8.5 sec,27000.0,Petrol,5.0,250.0
Volkswagen,Golf R32,3.2L VR6,3189 cc,240.0,250.0,6.2 sec,40000.0,Petrol,5.0,320.0
Volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,1598 cc / 1984 cc,120.0,220.0,8.5 sec,26000.0,Petrol,5.0,280.0
Volkswagen,Scirocco 16V,1.8L I4 Gas,1781 cc,137.0,220.0,7.1 sec,35000.0,Petrol,4.0,230.0
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75.0,190.0,10.5 sec,20000.0,Diesel,5.0,210.0
Volkswagen,Golf Variant GTD,2.0L Diesel I4,1968 cc,184.0,230.0,7.5 sec,38000.0,Diesel,5.0,380.0
Volkswagen,Polo GTI R5,1.6L Turbocharged Rally Engine,1598 cc,272.0,200.0,4.1 sec,45000.0,Petrol,5.0,400.0
Volkswagen,ID. Buzz Pro,Electric,77 kWh,204.0,145.0,10.2 sec,60000.0,Electric,7.0,310.0
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,170.0,210.0,8.6 sec,28000.0,Hybrid,5.0,250.0
Volkswagen,Golf Variant Alltrack,2.0L Diesel I4,1968 cc,150.0,220.0,7.8 sec,35000.0,Petrol,5.0,320.0
Volkswagen,Volkswagen XL1,Plug-in Hybrid (0.8L I2 Diesel),800 cc + Electric Motor,68.0,160.0,11.9 sec,150000.0,Hybrid,2.0,140.0
Volkswagen,Golf TDI,2.0L Diesel I4,1968 cc,150.0,220.0,8.0 sec,28000.0,Diesel,5.0,350.0
Volkswagen,Passat Variant,1.5L I4 Turbo / 2.0L Diesel,1498 cc / 1968 cc,150.0,220.0,8.5 sec,30000.0,Petrol,5.0,280.0
Volkswagen,Polo GTI Clubsport,2.0L I4 Turbo,1984 cc,300.0,240.0,6.7 sec,30000.0,Petrol,5.0,320.0
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,170.0,210.0,8.6 sec,28000.0,Hybrid,5.0,250.0
Volkswagen,ID.3 GTX,Electric,77 kWh,299.0,180.0,6.2 sec,45000.0,Electric,5.0,310.0
Volkswagen,Arteon R-Line,2.0L I4 Turbo,1984 cc,190.0,250.0,5.6 sec,50000.0,Petrol,5.0,420.0
Volkswagen,Golf TGI,1.5L I4 CNG,1498 cc,130.0,220.0,8.8 sec,30000.0,Petrol,5.0,200.0
Volkswagen,Scirocco GTS,2.0L I4 Turbo,1984 cc,220.0,246.0,6.5 sec,35000.0,Petrol,4.0,350.0
Volkswagen,Caddy Maxi,2.0L Diesel I4,1968 cc,122.0,180.0,12.0 sec,25000.0,Diesel,7.0,250.0
Volkswagen,Volkswagen Lupo 3L,1.2L Diesel I3,1199 cc,61.0,165.0,14.5 sec,20000.0,Diesel,4.0,140.0
Volkswagen,Polo Beats,1.0L I3 Turbo,999 cc,95.0,187.0,9.5 sec,22000.0,Petrol,5.0,175.0
Volkswagen,Passat Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,215.0,210.0,7.4 sec,32000.0,Hybrid,5.0,330.0
Volkswagen,Golf TCR,2.0L I4 Turbo,1984 cc,290.0,250.0,5.6 sec,40000.0,Petrol,5.0,370.0
Volkswagen,Tiguan R-Line,2.0L I4 Turbo,1984 cc,190.0,250.0,4.9 sec,45000.0,Petrol,5.0,420.0
Volkswagen,Sharan Business,2.0L Diesel I4,1968 cc,150.0,200.0,8.3 sec,35000.0,Diesel,7.0,350.0
Volkswagen,ID. Buzz Cargo Pro,Electric,77 kWh,204.0,145.0,10.2 sec,55000.0,Electric,2.0,310.0
Volkswagen,Arteon 280 TSI,2.0L I4 Turbo,1984 cc,280.0,250.0,5.6 sec,50000.0,Petrol,5.0,350.0
Volkswagen,Jetta GLI 35th,2.0L I4 Turbo,1984 cc,228.0,250.0,6.5 sec,31000.0,Petrol,5.0,350.0
Volkswagen,Beetle Final Edition,2.0L I4 Turbo,1984 cc,174.0,205.0,7.0 sec,25000.0,Petrol,4.0,250.0
Volkswagen,Golf Variant TDI,2.0L Diesel I4,1968 cc,150.0,220.0,7.8 sec,30000.0,Diesel,5.0,350.0
Volkswagen,Golf 4MOTION,2.0L Diesel I4,1968 cc,150.0,250.0,4.9 sec,40000.0,Petrol,5.0,400.0
Volkswagen,Jetta SportWagen,1.4L I4 Turbo / 2.0L Diesel I4,1395 cc / 1968 cc,147.0,200.0,8.5 sec,27000.0,Petrol,5.0,250.0
Volkswagen,Polo GTI Plus,2.0L I4 Turbo,1984 cc,207.0,237.0,6.7 sec,30000.0,Petrol,5.0,320.0
Volkswagen,Touareg V6,3.0L V6 Turbo Diesel / Gasoline,2967 cc,231.0,235.0,7.5 sec,60000.0,Petrol,5.0,450.0
Volkswagen,Tiguan eHybrid,1.4L I4 Turbo + Electric Motor,1395 cc + Battery,245.0,200.0,7.5 sec,42000.0,Hybrid,5.0,400.0
Volkswagen,Up! e-up!,Electric,32.3 kWh,83.0,130.0,11.9 sec,23000.0,Electric,4.0,210.0
Volkswagen,Amarok V8,4.0L V8 Turbo Diesel,3996 cc,310.0,210.0,7.4 sec,70000.0,Diesel,5.0,580.0
Volkswagen,Golf R Cabriolet,2.0L I4 Turbo,1984 cc,265.0,250.0,5.9 sec,45000.0,Petrol,4.0,380.0
Volkswagen,Passat Alltrack TDI,2.0L Diesel I4,1968 cc,190.0,220.0,8.0 sec,40000.0,Diesel,5.0,400.0
Volkswagen,ID. Buzz Cargo EV,Electric,77 kWh,204.0,145.0,10.2 sec,55000.0,Electric,2.0,310.0
Nissan,Versa,1.6L Inline-4,1598 cc,305.00583090379007,180.0,10.4 sec,16700.0,Petrol,5.0,154.0
Nissan,Micra,1.0L Turbocharged Inline-3,999 cc,305.00583090379007,175.0,10.8 sec,15500.0,Petrol,5.0,160.0
Nissan,Patrol Platinum,5.6L V8,5552 cc,305.00583090379007,210.0,7.3 sec,77000.0,Petrol,7.0,560.0
Nissan,Qashqai,1.3L Turbocharged Inline-4,1332 cc,305.00583090379007,195.0,8.9 sec,26000.0,Petrol,5.0,260.0
Nissan,Murano,3.5L V6,3498 cc,305.00583090379007,210.0,7.5 sec,39000.0,Petrol,5.0,325.0
Nissan,Maxima Platinum,3.5L V6,3498 cc,305.00583090379007,220.0,6.2 sec,45000.0,Petrol,5.0,353.0
Nissan,Armada,5.6L V8,5552 cc,305.00583090379007,210.0,6.5 sec,51000.0,Petrol,8.0,560.0
Nissan,Kicks,1.6L Inline-4,1598 cc,305.00583090379007,180.0,10.7 sec,20000.0,Petrol,5.0,154.0
Nissan,X-Trail,1.5L Turbocharged Inline-3,1498 cc,305.00583090379007,200.0,8.0 sec,29000.0,Hybrid,5.0,305.0
Nissan,Z (Fairlady Z),3.0L Twin-Turbo V6,2997 cc,305.00583090379007,250.0,4.5 sec,40000.0,Petrol,2.0,475.0
Nissan,Almera,1.0L Turbocharged Inline-3,999 cc,305.00583090379007,185.0,10.7 sec,14500.0,Petrol,5.0,160.0
Nissan,Sylphy,1.8L Inline-4,1798 cc,305.00583090379007,190.0,9.6 sec,18000.0,Petrol,5.0,174.0
Nissan,Note,1.2L Inline-3 Hybrid,1198 cc,305.00583090379007,170.0,11.5 sec,16000.0,Hybrid,5.0,150.0
Nissan,Sunny,1.6L Inline-4,1598 cc,305.00583090379007,180.0,11.0 sec,15000.0,Petrol,5.0,156.0
Nissan,Cube,1.8L Inline-4,1798 cc,305.00583090379007,175.0,10.6 sec,14500.0,Petrol,5.0,171.0
Nissan,Juke,1.0L Turbocharged Inline-3,999 cc,305.00583090379007,180.0,10.4 sec,25000.0,Petrol,5.0,180.0
Nissan,Terrano,1.5L Inline-4 Diesel,1461 cc,305.00583090379007,168.0,13.5 sec,15500.0,Diesel,5.0,248.0
Nissan,Magnite,1.0L Turbocharged Inline-3,999 cc,305.00583090379007,160.0,13.0 sec,12000.0,Petrol,5.0,160.0
Nissan,Xterra,4.0L V6,3954 cc,305.00583090379007,200.0,7.8 sec,35000.0,Petrol,7.0,381.0
Nissan,Patrol,5.6L V8,5552 cc,305.00583090379007,210.0,7.3 sec,77000.0,Petrol,7.0,560.0
Nissan,GT-R NISMO,3.8L Twin-Turbo V6,3799 cc,305.00583090379007,330.0,2.9 sec,220000.0,Petrol,2.0,652.0
Nissan,370Z Roadster,3.7L V6,3696 cc,305.00583090379007,250.0,5.5 sec,41820.0,Petrol,2.0,366.0
Nissan,Ariya ,Dual Electric Motors,87 kWh,305.00583090379007,200.0,5.1 sec,58950.0,Electric,5.0,600.0
Nissan,Patrol Royale,5.6L V8,5552 cc,305.00583090379007,210.0,6.6 sec,85000.0,Petrol,7.0,560.0
Nissan,Infiniti QX80*,5.6L V8,5552 cc,305.00583090379007,210.0,6.5 sec,70600.0,Petrol,7.0,560.0
Nissan,Tiida,1.6L Inline-4,1598 cc,305.00583090379007,190.0,10.1 sec,14500.0,Petrol,5.0,154.0
Nissan,Pulsar,1.2L Turbocharged Inline-4,1197 cc,305.00583090379007,190.0,10.7 sec,19000.0,Petrol,5.0,190.0
Nissan,Latio,1.5L Inline-4,1498 cc,305.00583090379007,175.0,11.5 sec,13000.0,Petrol,5.0,139.0
Nissan,Bluebird Sylphy,2.0L Inline-4,1997 cc,305.00583090379007,185.0,10.5 sec,18500.0,Petrol,5.0,191.0
Nissan,March,1.2L Inline-3,1198 cc,305.00583090379007,170.0,13.7 sec,12000.0,Petrol,5.0,106.0
Nissan,Rogue Sport,2.0L Inline-4,1997 cc,305.00583090379007,190.0,9.8 sec,24960.0,Petrol,5.0,199.0
Nissan,X-Trail Hybrid,2.0L Inline-4 Hybrid,1997 cc,305.00583090379007,180.0,9.4 sec,28500.0,Hybrid,5.0,207.0
Nissan,Pathfinder Rock Creek,3.5L V6,3498 cc,305.00583090379007,190.0,7.4 sec,42820.0,Petrol,7.0,351.0
Nissan,Armada Platinum,5.6L V8,5552 cc,305.00583090379007,210.0,6.5 sec,65300.0,Petrol,8.0,560.0
Nissan,Terrano XL,1.6L Inline-4,1598 cc,305.00583090379007,165.0,12.5 sec,14000.0,Petrol,5.0,145.0
Nissan,GT-R50 by Italdesign,3.8L Twin-Turbo V6,3799 cc,305.00583090379007,315.0,2.5 sec,1100000.0,Petrol,2.0,780.0
Nissan,370Z NISMO,3.7L V6,3696 cc,305.00583090379007,250.0,5.2 sec,45790.0,Petrol,2.0,374.0
Nissan,Ariya E-4ORCE,Dual Electric Motors,87 kWh,305.00583090379007,200.0,5.1 sec,60000.0,Electric,5.0,600.0
Nissan,Patrol NISMO,5.6L V8,5552 cc,305.00583090379007,210.0,6.5 sec,105000.0,Petrol,7.0,560.0
Nissan,Infiniti Q60*,3.0L V6 Twin-Turbo,2997 cc,305.00583090379007,250.0,5.0 sec,41750.0,Petrol,4.0,400.0
Nissan,Primera,2.0L Inline-4,1998 cc,305.00583090379007,200.0,9.6 sec,20000.0,Petrol,5.0,190.0
